70,校领导出访美国高校,2017-10-10,w
71,我校入选“高校教师考核评价改革示范校”,2017-10-10,s
72,【“两学一做”常态化制度化】走进鹭岛历史 感受沧桑巨变——教育研究院师生党员固定党日参观厦门特区纪念馆,2017-10-10,.
73,我校泰国皇太后大学孔子学院校友会正式成立,2017-10-09,x
74,【喜迎十九大】开展主题实践活动 喜迎十九大胜利召开,2017-10-08,m
75,多样新生启蒙 助力新生成长,2017-10-08,u
76,厦门大学2017年“我最喜爱的十位老师”颁奖典礼举行,2017-10-04,h
77,机关党委获全国高校干部网络培训工作“优秀组织单位”称号,2017-10-04,t
78,校长张荣会见美国客人,2017-10-03,t
79,志为祖国做栋梁 乐为祖国育栋梁 ——记福建省优秀教师彭栋梁教授,2017-10-03,p
80,【人才引进】“千人计划”青年人才武剑锋教授加盟我校,2017-10-02,:
81,附属心血管病医院荣获2016年福建省科学技术进步奖一等奖,2017-10-02,/
82,缅怀先烈 致敬英雄,2017-09-30,/
83, 学校召开退伍大学生座谈会学习习近平总书记给南开大学新入伍大学生重要回信精神,2017-09-30,n
84, 【喜迎十九大】学校部署检查国庆中秋期间校园管理  以良好面貌迎接党的十九大召开,2017-09-30,e
85,学校召开2017-2018学年第一学期本科教学工作会议,2017-09-29,w
86,省食品安全督查组到我校检查食品安全工作,2017-09-29,s
87,首届中国营商环境研究与实践高峰论坛在我校举行,2017-09-29,.
88,【军训点滴】火热军训　青春正当时,2017-09-28,x
89,学校召开2018年研究生招考工作会,2017-09-28,m
90,各地校友会举办中秋校友文化联欢活动,2017-09-28,u
91,我校创业学子向刘延东副总理作报告,2017-09-27,h
92,张荣校长与在陕校友座谈 ,2017-09-27,t
93,厦门大学2018年中国国际太阳能十项全能竞赛建筑主体落成仪式暨中法环境月启动仪式在我校举行,2017-09-27,t
94,【喜迎十九大】推动政治理论学习常态化长效化,2017-09-27,p
95,我校马克思主义学院参加四校联动首届“中国近现代史纲要”课程集体备课会,2017-09-27,:
96,我校在福建省高校大学生学习马克思主义理论“一‘马’当先”知识竞赛中获得佳绩,2017-09-27,/
97,【人才引进】校领导率团赴北美举办人才招聘会,2017-09-27,/
98,人文学院刘荣平编纂《全闽词》一书获2016年全国优秀古籍图书一等奖,2017-09-27,n
99,华为公司2018年应届生招聘宣讲会在我校举行,2017-09-26,e
100,【喜迎十九大】光明日报整版报道我校砥砺奋进的五年,2017-09-26,w
101,省委督查调研组来校调研创新型省份相关政策落实情况,2017-09-26,s
102,化学化工学院郑南峰教授超薄铜纳米片新研究成果发表在Science Advances,2017-09-25,.
103,我校进行2017级新生防诈骗教育,2017-09-25,x
104,学校慰问2017级新生军训承训部队官兵,2017-09-25,m
105,全面推进地方战略合作 助力福建生态文明建设,2017-09-24,u
106,林毅夫教授做客南强学术讲座,2017-09-24,h
107,160多名学者共聚我校研讨《资本论》的时代价值,2017-09-23,t
108,2017级新生军训拉练圆满结束,2017-09-22,t
109,山东大学校领导来访,2017-09-22,p
110,2017年全国高校建筑设计优秀教案和教学成果评展活动在我校成功举办,2017-09-22,:
111,【军训点滴】 疾风知劲草　历练出坚韧,2017-09-21,/
112,整装再出发——我校190名“小白鹭”志愿者继续服务“厦洽会”,2017-09-21,/
113,我校附属心血管病医院 获批全国首批“心血管病专科护理及技术培训示范基地”,2017-09-21,n
114,厦门大学对口支援青海民族大学2017年工作例会召开,2017-09-20,e
115,新西兰驻华大使麦康年来访,2017-09-20,w
116,我校专家受邀参加教育部科技委“一带一路”科技创新专题研讨战略圆桌会议,2017-09-20,s
117,校领导参加2017年“一带一路”亚洲孔子学院联席会议,2017-09-20,.
